premises,conclusion,label
"If a film is appropriate for people of all ages, then children can watch it without guidance from parents.
If a film contains excessive erotic and violent content, children cannot watch it without guidance from their parents.
If a film is rated General Audience, then it is appropriate for people of all ages.
All family-friendly animated films are rated General Audience.
All movies in the Frozen series are family-friendly animated films.
“Hachi: A dog’s Tale” is a film.
“Hachi: A dog’s Tale”  is either a family-friendly animated film or is appropriate for people of all ages.","""Hachi: A dog's Tale"" either contains excessive erotic and violent content and is a film in the ""Frozen"" series, or it neither contains excessive erotic and violent content nor is a film in the ""Frozen"" series.",True
"All hydrocarbons are organic compounds .
All alkanes are hydrocarbons
All organic compounds are chemical compounds.
All organic compounds contain carbon.
No chemical compounds contain only one element.
The mixture either both is a chemical compound and contains only one element, or neither.","If the mixture contains only one element or contains carbon, then the mixture is neither a chemical compound nor an alkane.",True
"A hawk never swims. 
Some birds are hawks.",All birds swim.,False
"Some show airing at 8 pm on Monday gives out roses on TV.
If a show gives out roses on TV, then the show is an episode of The Bachelor.
The Bachelor portrays the lives of real people.
All shows portraying the lives of real people are reality TV shows.
Breaking Bad is a show.
Breaking Bad is not a reality TV show.",Breaking Bad is a TV show in which roses are given out on Monday at 8 pm.,False
"Some show airing at 8 pm on Monday gives out roses on TV.
If a show gives out roses on TV, then the show is an episode of The Bachelor.
The Bachelor portrays the lives of real people.
All shows portraying the lives of real people are reality TV shows.
Breaking Bad is a show.
Breaking Bad is not a reality TV show.","If roses are given out during Breaking Bad, then it is on Monday at 8 pm.",True
"Heinrich Schmidt was a German politician. 
Heinrich Schmidt was also a member of the Prussian State Parliament and the Nazi Reichstag.",No politicians are part of the Nazi Reichstag.,False
"Events are either happy or sad.
At least one event is happy.",All events are sad.,False
"Ailton Silva, born in 1995, is commonly known as Ailton.
Ailton is a football player who was loaned out to Braga.
Ailton Silva is a Brazilian footballer who plays for Náutico.
Náutico is a football club along with Braga.
Fluminense is a football club.",No one playing for Nautico is Brazilian.,False
"Ailton Silva, born in 1995, is commonly known as Ailton.
Ailton is a football player who was loaned out to Braga.
Ailton Silva is a Brazilian footballer who plays for Náutico.
Náutico is a football club along with Braga.
Fluminense is a football club.",Ailton Silva does not play for a football club.,False
"Ailton Silva, born in 1995, is commonly known as Ailton.
Ailton is a football player who was loaned out to Braga.
Ailton Silva is a Brazilian footballer who plays for Náutico.
Náutico is a football club along with Braga.
Fluminense is a football club.",Ailton was not loaned out to a football club.,False
"None of the students who currently work in the library are from the computer science department. 
All of the students with part-time jobs offered by the university currently work in the library. 
All of the students who are taking the database course are from the computer science department. 
All of the students taking a class with Professor David are taking the database course. 
All students working in the lab are taking a class with Professor David.
James is a student working in the lab. 
James doesn't work in the lab or have a part-time job offered by the university.",James has a part-time job offered by the university.,False
"None of the students who currently work in the library are from the computer science department. 
All of the students with part-time jobs offered by the university currently work in the library. 
All of the students who are taking the database course are from the computer science department. 
All of the students taking a class with Professor David are taking the database course. 
All students working in the lab are taking a class with Professor David.
James is a student working in the lab. 
James doesn't work in the lab or have a part-time job offered by the university.",James does not have a part-time job offered by the university.,True
"None of the students who currently work in the library are from the computer science department. 
All of the students with part-time jobs offered by the university currently work in the library. 
All of the students who are taking the database course are from the computer science department. 
All of the students taking a class with Professor David are taking the database course. 
All students working in the lab are taking a class with Professor David.
James is a student working in the lab. 
James doesn't work in the lab or have a part-time job offered by the university.",James either takes the database course or has a part-time job offered by the university.,True
"None of the students who currently work in the library are from the computer science department. 
All of the students with part-time jobs offered by the university currently work in the library. 
All of the students who are taking the database course are from the computer science department. 
All of the students taking a class with Professor David are taking the database course. 
All students working in the lab are taking a class with Professor David.
James is a student working in the lab. 
James doesn't work in the lab or have a part-time job offered by the university.",James takes the database course.,Uncertain
